id,name,price,link,mileage
38,Citroen C4 1.6b,2.000 €,/auto-oglasi/19683548/citroen-c4-16b?attp=p1_pv0_pc1_pl1_plv0,171.000 km
39,Citroen C4 1.2i STT2 Matik (može zamena),9.200 €,/auto-oglasi/19599932/citroen-c4-12i-stt2-matik?attp=p3_pv0_pc1_pl1_plv0,188.463 km
40,Citroen C4 1.6 ben,2.490 €,/auto-oglasi/19671414/citroen-c4-16-ben?attp=p3_pv0_pc1_pl1_plv0,192.000 km
41,Citroen C4 1.6HDI,2.550 €,/auto-oglasi/19718972/citroen-c4-16hdi?attp=p3_pv0_pc1_pl1_plv0,209.753 km
42,Citroen C4 1.4,3.499 € + registracija,/auto-oglasi/18775868/citroen-c4-14?attp=p3_pv0_pc1_pl1_plv0,165.000 km
43,Citroen C4 1.6 16V SWICA,2.399 €,/auto-oglasi/18938793/citroen-c4-16-16v-swica?attp=p3_pv0_pc1_pl1_plv0,173.000 km
44,Citroen C4 NE.MA PLI.VAJUCI ZAM (može zamena),5.999 € + registracija,/auto-oglasi/19551883/citroen-c4-nema-plivajuci-zam?attp=p1_pv0_pc1_pl1_plv0,162.785 km
45,Citroen C4 1.6HDI,3.499 €,/auto-oglasi/19701517/citroen-c4-16hdi?attp=p1_pv0_pc1_pl1_plv0,205.000 km
46,Citroen C4 1.4 i Advance,2.499 €,/auto-oglasi/19049991/citroen-c4-14-i-advance?attp=p3_pv0_pc1_pl1_plv0,173.185 km
47,Citroen C4 1.6 HDI 2018 MILBUS,9.150 €,/auto-oglasi/19558938/citroen-c4-16-hdi-2018-milbus?attp=p1_pv0_pc1_pl1_plv0,177.689 km
48,Citroen C4 CH.FUL,3.199 € + registracija,/auto-oglasi/19668421/citroen-c4-chful?attp=p1_pv0_pc1_pl1_plv0,184.600 km
49,Citroen C4 1.6 HDi Bosch,3.350 € + registracija,/auto-oglasi/19379688/citroen-c4-16-hdi-bosch?attp=p1_pv0_pc1_pl1_plv0,193.000 km
50,Citroen C4 1.6 HDI  MILLENIUM,7.890 €,/auto-oglasi/17283436/citroen-c4-16-hdi-millenium?attp=p3_pv0_pc1_pl1_plv0,150.000 km
51,Citroen C4,7.699 €,/auto-oglasi/19712279/citroen-c4?attp=p1_pv0_pc1_pl1_plv0,212.000 km
52,Citroen C4 1.6 (može zamena),2.899 € + registracija,/auto-oglasi/19601275/citroen-c4-16?attp=p3_pv0_pc1_pl1_plv0,162.000 km
53,Citroen C4,2.650 €,/auto-oglasi/19664341/citroen-c4?attp=p3_pv0_pc1_pl1_plv0,198.000 km
54,Citroen C4 1.6 Pano.rama,2.850 €,/auto-oglasi/18958420/citroen-c4-16-panorama?attp=p3_pv0_pc1_pl1_plv0,179.000 km
55,Citroen C4 1.6 BHDI FEEL/LED,8.290 € + registracija,/auto-oglasi/19011939/citroen-c4-16-bhdi-feelled?attp=p1_pv0_pc1_pl1_plv0,178.524 km
56,Citroen C4 1.6HDI SEDUCTION,5.400 €,/auto-oglasi/19132660/citroen-c4-16hdi-seduction?attp=p1_pv0_pc1_pl1_plv0,138.000 km
57,Citroen C4 1.6HDI/NAV/LED/NOOV,8.400 €,/auto-oglasi/18789764/citroen-c4-16hdinavlednoov?attp=p1_pv0_pc1_pl1_plv0,169.100 km
58,Citroen C4 1.6BLUEHDI MILENIJUM,11.300 € + registracija,/auto-oglasi/19706151/citroen-c4-16bluehdi-milenijum?attp=p3_pv0_pc1_pl1_plv0,143.276 km
59,Citroen C4  (može zamena),2.299 €,/auto-oglasi/19643558/citroen-c4?attp=p1_pv0_pc1_pl1_plv0,205.000 km
60,Citroen C4 1.6B SVAJCARSKA,3.050 €,/auto-oglasi/19317458/citroen-c4-16b-svajcarska?attp=p1_pv0_pc1_pl1_plv0,184.000 km
61,"Citroen C4 1,4 IZVANRED AN CH",3.500 € + registracija,/auto-oglasi/19705144/citroen-c4-14-izvanred-an-ch?attp=p3_pv0_pc1_pl1_plv0,180.890 km
